"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
89,0.472901069086914,5.72669991057313,
90,0.475550395525527,5.72198862589573,
91,0.478185043916499,5.71735521468556,
92,0.480805255551936,5.71279755501251,
93,0.483411265184523,5.70831360502108,
94,0.486003301272985,5.7039013990867,
95,0.488581586215832,5.69955904419517,
96,0.491146336574058,5.69528471653008,
97,0.493697763283425,5.6910766582542,
98,0.496236071856929,5.68693317447206,
99,0.498761462577988,5.68285263036156,
100,0.50127413068487,5.67883344846392,
101,0.503774266546845,5.67487410612143,
102,0.506262055832501,5.67097313305378,
103,0.508737679670662,5.66712910906411,
104,0.511201314804283,5.66334066186666,
105,0.513653133737706,5.65960646502849,
106,0.516093304877621,5.65592523601827,
107,0.518521992668048,5.65229573435559,
108,0.52093935771967,5.64871675985472,
109,0.523345556933773,5.64518715095721,
110,0.525740743621093,5.64170578314808,
111,0.528125067615805,5.63827156745061,
112,0.530498675384904,5.63488344899526,
113,0.532861710133198,5.63154040565837,
114,0.535214311904133,5.62824144676671,
115,0.537556617676644,5.62498561186409,
116,0.539888761458221,5.62177196953662,
117,0.542210874374381,5.61859961629325,
118,0.544523084754696,5.61546767549868,
119,0.546825518215553,5.61237529635561,
120,0.549118297739792,5.60932165293382,
121,0.551401543753358,5.60630594324339,
122,0.55367537419911,5.60332738834985,
123,0.55593990460792,5.60038523152898,
124,0.558195248167164,5.59747873745908,
125,0.560441515786742,5.59460719144902,
126,0.56267881616272,5.59176989869987,
127,0.564907255838707,5.58896618359872,
128,0.567126939265062,5.5861953890428,
129,0.569337968856018,5.58345687579256,
130,0.571540445044823,5.58075002185207,
131,0.573734466336975,5.57807422187558,
132,0.575920129361626,5.57542888659883,
133,0.578097528921246,5.57281344229386,
134,0.580266758039601,5.57022733024632,
135,0.582427908008131,5.56767000625407,
136,0.584581068430775,5.56514094014611,
137,0.586726327267326,5.56263961532086,
138,0.588863770875356,5.56016552830285,
139,0.590993484050783,5.55771818831704,
140,0.593115550067119,5.55529711687981,
141,0.59523005071347,5.55290184740603,
142,0.597337066331313,5.55053192483126,
143,0.599436675850117,5.54818690524866,
144,0.601528956821845,5.54586635555961,
145,0.603613985454376,5.54356985313777,
146,0.605691836643894,5.54129698550573,
147,0.607762584006282,5.53904735002376,
148,0.609826299907549,5.53682055359023,
149,0.611883055493344,5.53461621235305,
150,0.613932920717572,5.53243395143167,
151,0.615975964370159,5.53027340464934,
152,0.618012254103983,5.52813421427495,
153,0.620041856461018,5.52601603077427,
154,0.622064836897701,5.52391851256999,
155,0.624081259809572,5.52184132581035,
156,0.626091188555183,5.51978414414596,
157,0.628094685479331,5.51774664851436,
158,0.630091811935625,5.51572852693222,
159,0.632082628308402,5.51372947429462,
160,0.634067194034036,5.5117491921813,
161,0.636045567621641,5.50978738866954,
162,0.638017806673194,5.50784377815338,
163,0.639983967903113,5.50591808116898,
164,0.641944107157275,5.50401002422579,
165,0.643898279431534,5.50211933964345,
166,0.645846538889718,5.50024576539399,
167,0.647788938881151,5.49838904494933,
168,0.649725531957692,5.49654892713373,
169,0.651656369890332,5.49472516598102,
170,0.653581503685335,5.49291752059658,
171,0.655500983599966,5.4911257550236,
172,0.657414859157793,5.48934963811375,
173,0.659323179163602,5.4875889434019,
174,0.661225991717914,5.48584344898484,
175,0.66312334423113,5.48411293740381,
176,0.665015283437317,5.48239719553068,
177,0.666901855407641,5.4806960144577,
178,0.66878310556345,5.47900918939068,
179,0.67065907868904,5.47733651954538,
180,0.67252981894409,5.47567780804719,
181,0.674395369875794,5.47403286183371,
182,0.676255774430687,5.47240149156045,
183,0.678111074966179,5.47078351150921,
184,0.67996131326181,5.4691787394993,
185,0.681806530530226,5.46758699680138,
186,0.68364676742789,5.46600810805385,
187,0.685482064065532,5.46444190118169,
188,0.687312460018353,5.46288820731766,
189,0.689137994335982,5.46134686072589,
190,0.69095870555219,5.45981769872754,
191,0.692774631694389,5.45830056162875,
192,0.694585810292893,5.45679529265054,
193,0.696392278389971,5.45530173786078,
194,0.698194072548681,5.45381974610805,
195,0.699991228861513,5.45234916895741,
196,0.701783782958819,5.45088986062795,
197,0.703571770017053,5.44944167793208,
198,0.705355224766832,5.44800448021649,
199,0.7071341815008,5.44657812930483,
200,0.708908674081327,5.44516248944185,
201,0.710678735948026,5.44375742723916,
202,0.712444400125106,5.44236281162243,
203,0.714205699228563,5.44097851378004,
204,0.715962665473208,5.43960440711307,
205,0.717715330679538,5.43824036718672,
206,0.719463726280469,5.43688627168293,
207,0.721207883327905,5.43554200035435,
208,0.722947832499175,5.43420743497944,
209,0.724683604103331,5.43288245931886,
210,0.726415228087306,5.43156695907289,
211,0.72814273404194,5.43026082184003,
212,0.729866151207884,5.42896393707666,
213,0.731585508481373,5.42767619605778,
214,0.733300834419877,5.42639749183865,
215,0.735012157247638,5.42512771921755,
216,0.736719504861087,5.42386677469939,
217,0.73842290483415,5.42261455646029,
218,0.740122384423443,5.42137096431303,
219,0.741817970573362,5.42013589967341,
220,0.743509689921066,5.41890926552739,
221,0.745197568801361,5.41769096639911,
222,0.746881633251479,5.41648090831965,
223,0.748561909015771,5.41527899879662,
224,0.750238421550293,5.41408514678441,
225,0.751911196027306,5.41289926265529,
226,0.753580257339689,5.4117212581711,
227,0.75524563010526,5.41055104645567,
228,0.756907338671009,5.40938854196795,
229,0.758565407117256,5.4082336604757,
230,0.760219859261718,5.40708631902988,
231,0.761870718663505,5.40594643593963,
232,0.763518008627029,5.40481393074782,
233,0.765161752205848,5.40368872420719,
234,0.766801972206424,5.40257073825711,
235,0.768438691191822,5.40145989600077,
236,0.770071931485325,5.40035612168299,
237,0.77170171517399,5.39925934066855,
238,0.773328064112131,5.39816947942093,
239,0.774950999924741,5.39708646548166,
240,0.776570544010842,5.39601022745006,
241,0.778186717546781,5.39494069496345,
242,0.77979954148946,5.39387779867786,
243,0.781409036579505,5.39282147024915,
244,0.78301522334438,5.39177164231451,
245,0.784618122101438,5.39072824847445,
246,0.786217752960925,5.38969122327515,
247,0.787814135828918,5.38866050219123,
248,0.789407290410219,5.38763602160885,
249,0.790997236211191,5.38661771880926,
250,0.792583992542545,5.38560553195265,
251,0.794167578522077,5.38459940006237,
252,0.795748013077355,5.38359926300951,
253,0.797325314948358,5.38260506149784,
254,0.798899502690067,5.38161673704897,
255,0.800470594675017,5.38063423198798,
256,0.802038609095793,5.37965748942921,
257,0.80360356396749,5.3786864532625,
258,0.805165477130131,5.37772106813959,
259,0.806724366251033,5.37676127946091,
260,0.808280248827143,5.37580703336259,
261,0.809833142187332,5.37485827670375,
262,0.81138306349464,5.37391495705412,
263,0.812930029748492,5.3729770226818,
264,0.814474057786879,5.37204442254142,
265,0.816015164288485,5.37111710626239,
266,0.817553365774798,5.37019502413756,
267,0.819088678612176,5.36927812711194,
268,0.820621119013872,5.36836636677183,
269,0.822150703042038,5.367459695334,
270,0.823677446609688,5.36655806563522,
271,0.825201365482629,5.36566143112194,
272,0.826722475281357,5.36476974584021,
273,0.828240791482931,5.36388296442576,
274,0.829756329422808,5.36300104209433,
275,0.831269104296647,5.36212393463215,
276,0.832779131162092,5.36125159838665,
277,0.834286424940516,5.36038399025733,
278,0.835791000418744,5.35952106768681,
279,0.837292872250746,5.35866278865206,
280,0.838792054959299,5.35780911165581,
281,0.840288562937627,5.35695999571813,
282,0.841782410451015,5.35611540036813,
283,0.843273611638393,5.35527528563592,
284,0.8447621805139,5.35443961204463,
285,0.846248130968416,5.35360834060259,
286,0.84773147677108,5.35278143279575,
287,0.849212231570774,5.35195885058014,
288,0.850690408897593,5.35114055637454,
289,0.85216602216428,5.35032651305326,
290,0.853639084667654,5.34951668393905,
291,0.855109609590004,5.3487110327962,
292,0.856577610000465,5.3479095238237,
293,0.858043098856373,5.34711212164853,
294,0.859506089004601,5.3463187913192,
295,0.860966593182874,5.34552949829919,
296,0.862424624021058,5.34474420846073,
297,0.863880194042439,5.34396288807856,
298,0.865333315664976,5.34318550382386,
299,0.866784001202537,5.34241202275828,
300,0.868232262866117,5.34164241232804,
301,0.869678112765037,5.34087664035825,
302,0.871121562908126,5.34011467504718,
303,0.872562625204881,5.33935648496079,
304,0.874001311466621,5.33860203902721,
305,0.875437633407607,5.33785130653144,
306,0.876871602646163,5.33710425711008,
307,0.878303230705768,5.33636086074618,
308,0.879732529016137,5.33562108776417,
309,0.881159508914286,5.33488490882487,
310,0.882584181645584,5.33415229492064,
311,0.88400655836478,5.33342321737053,
312,0.88542665013703,5.33269764781561,
313,0.886844467938895,5.33197555821431,
314,0.888260022659334,5.33125692083787,
315,0.889673325100679,5.33054170826588,
316,0.891084385979598,5.32982989338188,
317,0.892493215928041,5.32912144936903,
318,0.893899825494174,5.32841634970589,
319,0.895304225143305,5.32771456816221,
320,0.896706425258787,5.3270160787949,
321,0.898106436142917,5.32632085594391,
322,0.899504268017818,5.32562887422837,
323,0.900899931026309,5.32494010854262,
324,0.902293435232767,5.32425453405241,
325,0.903684790623969,5.32357212619116,
326,0.905074007109929,5.32289286065623,
327,0.906461094524726,5.3222167134053,
328,0.907846062627306,5.32154366065281,
329,0.909228921102294,5.32087367886642,
330,0.910609679560776,5.32020674476355,
331,0.911988347541085,5.31954283530803,
332,0.913364934509562,5.31888192770671,
333,0.914739449861323,5.31822399940616,
334,0.916111902920999,5.31756902808952,
335,0.917482302943481,5.31691699167322,
336,0.918850659114642,5.31626786830392,
337,0.92021698055206,5.31562163635541,
338,0.921581276305725,5.31497827442558,
339,0.922943555358738,5.31433776133346,
340,0.924303826628002,5.31370007611626,
341,0.925662098964901,5.31306519802654,
342,0.927018381155975,5.31243310652931,
343,0.928372681923581,5.3118037812993,
344,0.929725009926549,5.31117720221818,
345,0.931075373760825,5.31055334937185,
346,0.932423781960112,5.30993220304783,
347,0.933770242996498,5.30931374373259,
348,0.935114765281073,5.308697952109,
349,0.936457357164551,5.30808480905382,
350,0.937798026937866,5.30747429563513,
351,0.939136782832774,5.30686639310998,
352,0.940473633022442,5.30626108292187,
353,0.941808585622031,5.30565834669846,
354,0.943141648689267,5.30505816624914,
355,0.944472830225014,5.30446052356282,
356,0.945802138173829,5.30386540080558,
357,0.947129580424519,5.30327278031846,
358,0.948455164810685,5.30268264461528,
359,0.949778899111263,5.30209497638046,
360,0.951100791051054,5.30150975846688,
361,0.952420848301254,5.30092697389376,
362,0.953739078479968,5.30034660584464,
363,0.955055489152729,5.29976863766531,
364,0.956370087832998,5.29919305286179,
365,0.957682881982671,5.29861983509839,
366,0.958993879012569,5.29804896819573,
367,0.960303086282926,5.29748043612884,
368,0.961610511103873,5.29691422302527,
369,0.962916160735913,5.2963503131632,
370,0.964220042390392,5.29578869096967,
371,0.965522163229963,5.29522934101869,
372,0.966822530369047,5.29467224802955,
373,0.968121150874282,5.29411739686499,
374,0.969418031764978,5.2935647725295,
375,0.970713180013552,5.29301436016765,
376,0.972006602545971,5.29246614506236,
377,0.973298306242182,5.29192011263328,
378,0.974588297936538,5.29137624843516,
379,0.975876584418223,5.29083453815622,
380,0.977163172431665,5.2902949676166,
381,0.978448068676951,5.28975752276678,
382,0.979731279810231,5.28922218968605,
383,0.981012812444125,5.28868895458101,
384,0.982292673148116,5.28815780378405,
385,0.983570868448944,5.28762872375189,
386,0.984847404830996,5.28710170106413,
387,0.98612228873669,5.28657672242184,
388,0.987395526566849,5.28605377464612,
389,0.988667124681085,5.2855328446767,
390,0.989937089398161,5.28501391957064,
391,0.991205426996363,5.2844969865009,
392,0.992472143713858,5.28398203275504,
393,0.993737245749056,5.28346904573392,
394,0.995000739260961,5.28295801295039,
395,0.996262630369521,5.28244892202801,
396,0.997522925155976,5.28194176069979,
397,0.998781629663198,5.28143651680698,
398,1.00003874989603,5.28093317829781,
399,1.00129429182162,5.28043173322627,
400,1.00254826136974,5.27993216975097,
401,1.00380066443315,5.27943447613395,
402,1.00505150686787,5.27893864073946,
403,1.00630079449353,5.27844465203293,
404,1.00754853309369,5.27795249857973,
405,1.00879472841614,5.27746216904413,
406,1.01003938617319,5.27697365218819,
407,1.01128251204204,5.27648693687065,
408,1.012524111665,5.2760020120459,
409,1.01376419064985,5.27551886676291,
410,1.01500275457009,5.27503749016417,
411,1.01623980896529,5.27455787148472,
412,1.01747535934132,5.27408000005107,
413,1.01870941117067,5.27360386528027,
414,1.01994196989272,5.27312945667887,
415,1.02117304091401,5.27265676384199,
416,1.02240262960857,5.27218577645234,
417,1.0236307413181,5.27171648427927,
418,1.02485738135235,5.27124887717784,
419,1.02608255498928,5.27078294508792,
420,1.02730626747541,5.27031867803325,
421,1.02852852402605,5.26985606612058,
422,1.02974932982554,5.26939509953874,
423,1.03096869002753,5.26893576855778,
424,1.03218660975524,5.26847806352815,
425,1.0334030941017,5.26802197487978,
426,1.03461814812997,5.26756749312128,
427,1.03583177687346,5.26711460883913,
428,1.0370439853361,5.26666331269681,
429,1.0382547784926,5.26621359543401,
430,1.03946416128872,5.26576544786586,
431,1.04067213864146,5.26531886088211,
432,1.04187871543934,5.26487382544637,
433,1.04308389654259,5.26443033259532,
434,1.04428768678339,5.26398837343797,
435,1.04549009096612,5.26354793915493,
436,1.04669111386755,5.26310902099762,
437,1.04789076023707,5.26267161028758,
438,1.04908903479693,5.26223569841574,
439,1.05028594224245,5.2618012768417,
440,1.05148148724219,5.26136833709305,
441,1.05267567443823,5.26093687076464,
442,1.05386850844634,5.26050686951793,
443,1.05505999385621,5.26007832508028,
444,1.05625013523161,5.25965122924432,
445,1.05743893711066,5.25922557386724,
446,1.058626404006,5.2588013508702,
447,1.05981254040496,5.25837855223764,
448,1.06099735076981,5.25795717001664,
449,1.06218083953792,5.25753719631633,
450,1.06336301112199,5.25711862330724,
451,1.06454386991019,5.25670144322069,
452,1.0657234202664,5.2562856483482,
453,1.06690166653035,5.25587123104086,
454,1.06807861301787,5.25545818370879,
455,1.06925426402101,5.25504649882051,
456,1.07042862380827,5.25463616890237,
457,1.07160169662473,5.254227186538,
458,1.07277348669229,5.25381954436773,
459,1.07394399820981,5.25341323508806,
460,1.07511323535329,5.25300825145106,
461,1.07628120227604,5.25260458626388,
462,1.07744790310887,5.25220223238818,
463,1.07861334196024,5.25180118273962,
464,1.07977752291644,5.25140143028732,
465,1.08094045004177,5.25100296805335,
466,1.08210212737867,5.25060578911221,
467,1.08326255894792,5.25020988659035,
468,1.08442174874876,5.24981525366564,
469,1.08557970075912,5.24942188356688,
470,1.08673641893571,5.24902976957335,
471,1.0878919072142,5.24863890501426,
472,1.08904616950939,5.24824928326835,
473,1.09019920971537,5.24786089776335,
474,1.09135103170564,5.24747374197556,
475,1.09250163933328,5.24708780942937,
476,1.09365103643111,5.24670309369682,
477,1.09479922681183,5.24631958839712,
478,1.09594621426816,5.24593728719624,
479,1.09709200257301,5.24555618380646,
480,1.09823659547958,5.24517627198592,
481,1.09937999672157,5.24479754553821,
482,1.10052221001326,5.24441999831194,
483,1.10166323904967,5.24404362420031,
484,1.10280308750672,5.24366841714071,
485,1.10394175904134,5.24329437111429,
486,1.10507925729163,5.2429214801456,
487,1.10621558587698,5.24254973830213,
488,1.10735074839822,5.24217913969394,
489,1.10848474843772,5.24180967847328,
490,1.10961758955956,5.24144134883418,
491,1.11074927530965,5.2410741450121,
492,1.11187980921584,5.2407080612835,
493,1.11300919478807,5.24034309196551,
494,1.1141374355185,5.23997923141555,
495,1.1152645348816,5.23961647403093,
496,1.11639049633433,5.23925481424855,
497,1.11751532331622,5.23889424654449,
498,1.1186390192495,5.23853476543366,
499,1.11976158753925,5.23817636546949,
500,1.12088303157348,5.23781904124352,
