"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH]","C(SignalNet1,SignalNet1) [pF]"
233,61.1040221299769,313.666389146963,
234,61.2350062505558,313.577109412269,
235,61.3657107882774,313.488400156195,
236,61.4961375258267,313.40025532911,
237,61.6262882270245,313.31266897082,
238,61.7561646371047,313.225635208872,
239,61.8857684829888,313.139148256903,
240,62.0151014735522,313.05320241302,
241,62.1441652998886,312.967792058226,
242,62.2729616355668,312.882911654875,
243,62.4014921368846,312.798555745162,
244,62.529758443117,312.714718949653,
245,62.6577621767603,312.63139596584,
246,62.7855049437715,312.548581566735,
247,62.9129883338031,312.466270599492,
248,63.0402139204345,312.384457984058,
249,63.167183261398,312.303138711863,
250,63.2938978988017,312.222307844523,
251,63.4203593593479,312.141960512586,
252,63.5465691545478,312.062091914301,
253,63.6725287809321,311.982697314406,
254,63.7982397202581,311.903772042957,
255,63.9237034397133,311.825311494169,
256,64.0489213921149,311.747311125288,
257,64.1738950161061,311.669766455486,
258,64.2986257363492,311.592673064782,
259,64.4231149637147,311.516026592983,
260,64.5473640954679,311.439822738646,
261,64.6713745154515,311.364057258066,
262,64.7951475942658,311.288725964283,
263,64.918684689445,311.213824726111,
264,65.0419871456314,311.139349467184,
265,65.1650562947457,311.065296165027,
266,65.2878934561552,310.991660850142,
267,65.4104999368386,310.918439605114,
268,65.5328770315485,310.845628563738,
269,65.6550260229707,310.773223910157,
270,65.776948181881,310.701221878026,
271,65.8986447672996,310.629618749689,
272,66.020117026643,310.558410855371,
273,66.1413661958727,310.487594572386,
274,66.2623934996423,310.41716632437,
275,66.3832001514414,310.347122580515,
276,66.5037873537382,310.277459854828,
277,66.6241562981185,310.208174705406,
278,66.7443081654235,310.139263733715,
279,66.8642441258847,310.070723583894,
280,66.9839653392572,310.00255094207,
281,67.10347295495,309.93474253568,
282,67.2227681121553,309.867295132816,
283,67.3418519399749,309.800205541576,
284,67.4607255575449,309.733470609427,
285,67.5793900741586,309.667087222589,
286,67.697846589387,309.601052305419,
287,67.816096193198,309.535362819816,
288,67.9341399660728,309.470015764629,
289,68.0519789791221,309.40500817509,
290,68.1696142941983,309.34033712224,
291,68.2870469640082,309.275999712379,
292,68.4042780322222,309.211993086522,
293,68.5213085335828,309.148314419865,
294,68.6381394940113,309.084960921261,
295,68.7547719307122,309.021929832706,
296,68.8712068522771,308.959218428837,
297,68.9874452587863,308.896824016434,
298,69.1034881419088,308.834743933934,
299,69.2193364850013,308.772975550958,
300,69.3349912632051,308.711516267839,
301,69.4504534435422,308.650363515164,
302,69.5657239850094,308.589514753324,
303,69.6808038386715,308.528967472067,
304,69.7956939477523,308.468719190069,
305,69.9103952477255,308.4087674545,
306,70.0249086664031,308.349109840612,
307,70.1392351240231,308.289743951322,
308,70.2533755333357,308.230667416806,
309,70.3673307996885,308.171877894109,
310,70.48110182111,308.113373066746,
311,70.5946894883927,308.055150644327,
312,70.7080946851736,307.997208362172,
313,70.8213182880153,307.939543980947,
314,70.9343611664845,307.8821552863,
315,71.0472241832301,307.825040088499,
