Date:  15:42, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20272  ,3.467e+002  ,-5.0985  ,9.9186  ,9.1063  ,iso-1
20273  ,3.472e+002  ,-5.0826  ,9.9186  ,7.6175  ,iso-1
20274  ,3.477e+002  ,-5.0768  ,9.9186  ,6.1586  ,iso-1
20275  ,3.484e+002  ,-5.0754  ,9.9186  ,4.7089  ,iso-1
20276  ,3.492e+002  ,-5.0751  ,9.9186  ,3.2613  ,iso-1
20277  ,3.502e+002  ,-5.0751  ,9.9186  ,1.8142  ,iso-1
20278  ,3.515e+002  ,-5.0757  ,9.9186  ,0.36509  ,iso-1
20279  ,3.536e+002  ,-5.0769  ,9.9186  ,-1.0809  ,iso-1
20280  ,3.575e+002  ,-5.0751  ,9.9186  ,-2.4067  ,iso-1
20281  ,3.575e+002  ,-5.0751  ,9.9186  ,-7.7073  ,iso-1
20282  ,3.535e+002  ,-5.0725  ,9.9186  ,-9.0512  ,iso-1
20283  ,3.515e+002  ,-5.0709  ,9.9186  ,-10.491  ,iso-1
20284  ,3.502e+002  ,-5.0715  ,9.9186  ,-11.934  ,iso-1
20285  ,3.492e+002  ,-5.074  ,9.9186  ,-13.378  ,iso-1
20286  ,3.484e+002  ,-5.0748  ,9.9186  ,-14.824  ,iso-1
20287  ,3.477e+002  ,-5.075  ,9.9186  ,-16.271  ,iso-1
20288  ,3.472e+002  ,-5.0751  ,9.9186  ,-17.718  ,iso-1
20289  ,3.467e+002  ,-5.0751  ,9.9186  ,-19.165  ,iso-1
20290  ,3.462e+002  ,-5.0751  ,9.9186  ,-20.612  ,iso-1
20291  ,3.459e+002  ,-5.0751  ,9.9186  ,-22.059  ,iso-1
20292  ,3.455e+002  ,-5.0751  ,9.9186  ,-23.506  ,iso-1
20293  ,3.452e+002  ,-5.0751  ,9.9186  ,-24.953  ,iso-1
20294  ,3.450e+002  ,-5.0751  ,9.9186  ,-26.4  ,iso-1
20295  ,3.447e+002  ,-5.0751  ,9.9186  ,-27.858  ,iso-1
20296  ,3.446e+002  ,-5.0751  ,9.9186  ,-29.381  ,iso-1
