Date:  14:27, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17932  ,-5.164e+002  ,-5.0751  ,9.9186  ,9.4069  ,iso-1
17933  ,-5.895e+002  ,-5.0751  ,9.9186  ,7.9605  ,iso-1
17934  ,-6.066e+002  ,-5.0751  ,9.9186  ,6.5141  ,iso-1
17935  ,-9.037e+000  ,-5.0751  ,9.9186  ,5.0677  ,iso-1
17936  ,-6.620e+002  ,-5.0751  ,9.9186  ,3.6214  ,iso-1
17937  ,-4.779e+003  ,-5.0751  ,9.9186  ,2.175  ,iso-1
17938  ,-9.799e+003  ,-5.0751  ,9.9186  ,0.72857  ,iso-1
17939  ,-3.420e+004  ,-5.0751  ,9.9186  ,-0.71781  ,iso-1
17940  ,-2.658e+004  ,-5.0751  ,9.9186  ,-2.1642  ,iso-1
17941  ,-7.811e+005  ,-5.0751  ,9.9186  ,-3.6106  ,iso-1
17942  ,-1.945e+006  ,-5.0751  ,9.9186  ,-5.057  ,iso-1
17943  ,-7.256e+005  ,-5.0751  ,9.9186  ,-6.5034  ,iso-1
17944  ,-1.944e+004  ,-5.0751  ,9.9186  ,-7.9498  ,iso-1
17945  ,-3.333e+004  ,-5.0751  ,9.9186  ,-9.3961  ,iso-1
17946  ,-7.146e+003  ,-5.0751  ,9.9186  ,-10.843  ,iso-1
17947  ,-4.632e+003  ,-5.0751  ,9.9186  ,-12.289  ,iso-1
17948  ,-1.652e+003  ,-5.0751  ,9.9186  ,-13.735  ,iso-1
17949  ,-1.044e+003  ,-5.0751  ,9.9186  ,-15.182  ,iso-1
17950  ,-1.085e+003  ,-5.0751  ,9.9186  ,-16.628  ,iso-1
17951  ,-5.275e+002  ,-5.0751  ,9.9186  ,-18.074  ,iso-1
17952  ,-5.041e+002  ,-5.0751  ,9.9186  ,-19.521  ,iso-1
17953  ,-3.993e+002  ,-5.0751  ,9.9186  ,-20.967  ,iso-1
17954  ,-3.749e+002  ,-5.0751  ,9.9186  ,-22.414  ,iso-1
17955  ,-4.404e+002  ,-5.0751  ,9.9186  ,-23.86  ,iso-1
17956  ,-4.765e+002  ,-5.0751  ,9.9186  ,-25.306  ,iso-1
17957  ,-6.115e+002  ,-5.0751  ,9.9186  ,-26.753  ,iso-1
17958  ,-1.024e+003  ,-5.0751  ,9.9186  ,-28.199  ,iso-1
17959  ,-2.051e+003  ,-5.0751  ,9.9186  ,-29.646  ,iso-1
17960  ,-2.284e+003  ,-3.6491  ,9.9186  ,19.532  ,iso-1
17961  ,-9.370e+002  ,-3.6491  ,9.9186  ,18.085  ,iso-1
17962  ,-6.120e+002  ,-3.6491  ,9.9186  ,16.639  ,iso-1
17963  ,-4.761e+002  ,-3.6491  ,9.9186  ,15.192  ,iso-1
