Date:  14:29, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20236  ,8.182e+001  ,28.311  ,9.9186  ,22.248  ,iso-1
20237  ,7.651e+001  ,26.89  ,9.9186  ,22.248  ,iso-1
20238  ,7.885e+001  ,25.47  ,9.9186  ,22.248  ,iso-1
20239  ,8.173e+001  ,24.049  ,9.9186  ,22.248  ,iso-1
20240  ,8.500e+001  ,22.628  ,9.9186  ,22.248  ,iso-1
20241  ,8.828e+001  ,21.207  ,9.9186  ,22.248  ,iso-1
20242  ,1.053e+002  ,19.787  ,9.9186  ,22.248  ,iso-1
20243  ,6.558e+002  ,18.366  ,9.9186  ,22.248  ,iso-1
20244  ,2.669e+002  ,16.945  ,9.9186  ,22.248  ,iso-1
20245  ,1.159e+002  ,15.525  ,9.9186  ,22.248  ,iso-1
20246  ,1.112e+002  ,14.104  ,9.9186  ,22.248  ,iso-1
20247  ,1.327e+002  ,12.683  ,9.9186  ,22.248  ,iso-1
20248  ,8.217e+002  ,11.263  ,9.9186  ,22.248  ,iso-1
20249  ,3.302e+002  ,9.8421  ,9.9186  ,22.248  ,iso-1
20250  ,1.631e+002  ,8.4214  ,9.9186  ,22.248  ,iso-1
20251  ,9.268e+002  ,7.0007  ,9.9186  ,22.248  ,iso-1
20252  ,3.720e+002  ,5.58  ,9.9186  ,22.248  ,iso-1
20253  ,1.605e+002  ,4.1593  ,9.9186  ,22.248  ,iso-1
20254  ,1.520e+002  ,2.7387  ,9.9186  ,22.248  ,iso-1
20255  ,1.556e+002  ,1.318  ,9.9186  ,22.248  ,iso-1
20256  ,1.565e+002  ,-0.10269  ,9.9186  ,22.248  ,iso-1
20257  ,1.777e+002  ,-1.5234  ,9.9186  ,22.248  ,iso-1
20258  ,1.131e+003  ,-2.9441  ,9.9186  ,22.248  ,iso-1
20259  ,1.029e+003  ,-4.3647  ,9.9186  ,22.248  ,iso-1
20260  ,3.875e+002  ,-5.7854  ,9.9186  ,22.248  ,iso-1
20261  ,1.451e+002  ,-7.2061  ,9.9186  ,22.248  ,iso-1
20262  ,1.154e+002  ,-8.6268  ,9.9186  ,22.248  ,iso-1
20263  ,1.162e+002  ,-10.047  ,9.9186  ,22.248  ,iso-1
20264  ,1.216e+002  ,-11.468  ,9.9186  ,22.248  ,iso-1
20265  ,1.174e+002  ,-12.889  ,9.9186  ,22.248  ,iso-1
