Date:  14:22, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20262  ,3.444e+002  ,-8.6268  ,9.9186  ,22.248  ,iso-1
20263  ,3.443e+002  ,-10.047  ,9.9186  ,22.248  ,iso-1
20264  ,3.443e+002  ,-11.468  ,9.9186  ,22.248  ,iso-1
20265  ,3.442e+002  ,-12.889  ,9.9186  ,22.248  ,iso-1
20266  ,3.441e+002  ,-14.309  ,9.9186  ,22.248  ,iso-1
20267  ,3.440e+002  ,-15.73  ,9.9186  ,22.248  ,iso-1
20268  ,3.439e+002  ,-17.151  ,9.9186  ,22.248  ,iso-1
20269  ,3.438e+002  ,-18.572  ,9.9186  ,22.248  ,iso-1
20270  ,3.437e+002  ,-19.992  ,9.9186  ,22.248  ,iso-1
20271  ,3.436e+002  ,-21.413  ,9.9186  ,22.248  ,iso-1
20272  ,3.435e+002  ,-22.834  ,9.9186  ,22.248  ,iso-1
20273  ,3.434e+002  ,-24.254  ,9.9186  ,22.248  ,iso-1
20274  ,3.433e+002  ,-25.675  ,9.9186  ,22.248  ,iso-1
20275  ,3.432e+002  ,-27.096  ,9.9186  ,22.248  ,iso-1
20276  ,3.431e+002  ,-28.516  ,9.9186  ,22.248  ,iso-1
20277  ,3.429e+002  ,-29.937  ,9.9186  ,22.248  ,iso-1
20278  ,3.428e+002  ,-31.358  ,9.9186  ,22.248  ,iso-1
20279  ,3.427e+002  ,-32.778  ,9.9186  ,22.248  ,iso-1
20280  ,3.427e+002  ,-34.199  ,9.9186  ,22.248  ,iso-1
20281  ,3.426e+002  ,-35.62  ,9.9186  ,22.248  ,iso-1
20282  ,3.425e+002  ,-37.04  ,9.9186  ,22.248  ,iso-1
20283  ,3.424e+002  ,-38.461  ,9.9186  ,22.248  ,iso-1
20284  ,3.424e+002  ,-39.882  ,9.9186  ,22.248  ,iso-1
20285  ,3.423e+002  ,-41.302  ,9.9186  ,22.248  ,iso-1
20286  ,3.423e+002  ,-42.723  ,9.9186  ,22.248  ,iso-1
20287  ,3.422e+002  ,-44.144  ,9.9186  ,22.248  ,iso-1
20288  ,3.422e+002  ,-45.564  ,9.9186  ,22.248  ,iso-1
20289  ,3.444e+002  ,-5.0751  ,9.9186  ,20.83  ,iso-1
20290  ,3.445e+002  ,-5.0935  ,9.9186  ,19.412  ,iso-1
20291  ,3.447e+002  ,-5.224  ,9.9186  ,17.994  ,iso-1
20292  ,3.449e+002  ,-5.5834  ,9.9186  ,16.576  ,iso-1
20293  ,3.452e+002  ,-4.6138  ,9.9186  ,15.158  ,iso-1
20294  ,3.454e+002  ,-4.9145  ,9.9186  ,13.74  ,iso-1
20295  ,3.458e+002  ,-5.0327  ,9.9186  ,12.322  ,iso-1
20296  ,3.461e+002  ,-5.0659  ,9.9186  ,10.904  ,iso-1
20297  ,3.465e+002  ,-5.0733  ,9.9186  ,9.4865  ,iso-1
20298  ,3.470e+002  ,-5.0748  ,9.9186  ,8.0686  ,iso-1
20299  ,3.475e+002  ,-5.075  ,9.9186  ,6.6507  ,iso-1
20300  ,3.482e+002  ,-5.0751  ,9.9186  ,5.2327  ,iso-1
20301  ,3.489e+002  ,-5.0751  ,9.9186  ,3.8148  ,iso-1
20302  ,3.498e+002  ,-5.0751  ,9.9186  ,2.3968  ,iso-1
20303  ,3.510e+002  ,-5.0751  ,9.9186  ,0.9789  ,iso-1
20304  ,3.527e+002  ,-5.0751  ,9.9186  ,-0.43904  ,iso-1
20305  ,3.527e+002  ,-5.0751  ,9.9186  ,-9.6749  ,iso-1
20306  ,3.510e+002  ,-5.0751  ,9.9186  ,-11.093  ,iso-1
20307  ,3.498e+002  ,-5.0751  ,9.9186  ,-12.511  ,iso-1
20308  ,3.489e+002  ,-5.0751  ,9.9186  ,-13.929  ,iso-1
20309  ,3.482e+002  ,-5.0751  ,9.9186  ,-15.347  ,iso-1
20310  ,3.475e+002  ,-5.0751  ,9.9186  ,-16.765  ,iso-1
20311  ,3.470e+002  ,-5.0751  ,9.9186  ,-18.183  ,iso-1
20312  ,3.465e+002  ,-5.0751  ,9.9186  ,-19.601  ,iso-1
20313  ,3.461e+002  ,-5.0751  ,9.9186  ,-21.018  ,iso-1
20314  ,3.458e+002  ,-5.0751  ,9.9186  ,-22.436  ,iso-1
20315  ,3.454e+002  ,-5.0751  ,9.9186  ,-23.854  ,iso-1
20316  ,3.452e+002  ,-5.0751  ,9.9186  ,-25.272  ,iso-1
20317  ,3.449e+002  ,-5.0751  ,9.9186  ,-26.69  ,iso-1
20318  ,3.447e+002  ,-5.0751  ,9.9186  ,-28.108  ,iso-1
20319  ,3.445e+002  ,-5.0751  ,9.9186  ,-29.526  ,iso-1
20320  ,3.444e+002  ,-5.0751  ,9.9186  ,-30.944  ,iso-1
20321  ,3.444e+002  ,-3.6544  ,9.9186  ,20.83  ,iso-1
20322  ,3.445e+002  ,-3.674  ,9.9186  ,19.411  ,iso-1
20323  ,3.447e+002  ,-3.8087  ,9.9186  ,17.994  ,iso-1
20324  ,3.449e+002  ,-4.1584  ,9.9186  ,16.576  ,iso-1
20325  ,3.451e+002  ,-3.1703  ,9.9186  ,15.172  ,iso-1
20326  ,3.454e+002  ,-3.4603  ,9.9186  ,13.759  ,iso-1
20327  ,3.457e+002  ,-3.5917  ,9.9186  ,12.342  ,iso-1
20328  ,3.461e+002  ,-3.6376  ,9.9186  ,10.924  ,iso-1
20329  ,3.465e+002  ,-3.6505  ,9.9186  ,9.506  ,iso-1
20330  ,3.470e+002  ,-3.6536  ,9.9186  ,8.0877  ,iso-1
20331  ,3.475e+002  ,-3.6542  ,9.9186  ,6.6695  ,iso-1
20332  ,3.481e+002  ,-3.6544  ,9.9186  ,5.2512  ,iso-1
20333  ,3.488e+002  ,-3.6544  ,9.9186  ,3.833  ,iso-1
20334  ,3.497e+002  ,-3.6544  ,9.9186  ,2.4113  ,iso-1
20335  ,3.508e+002  ,-3.6544  ,9.9186  ,0.98493  ,iso-1
20336  ,3.525e+002  ,-3.6544  ,9.9186  ,-0.43904  ,iso-1
20337  ,3.525e+002  ,-3.6544  ,9.9186  ,-9.6749  ,iso-1
20338  ,3.508e+002  ,-3.6544  ,9.9186  ,-11.09  ,iso-1
20339  ,3.497e+002  ,-3.6544  ,9.9186  ,-12.507  ,iso-1
20340  ,3.488e+002  ,-3.6544  ,9.9186  ,-13.925  ,iso-1
20341  ,3.481e+002  ,-3.6544  ,9.9186  ,-15.343  ,iso-1
20342  ,3.475e+002  ,-3.6544  ,9.9186  ,-16.762  ,iso-1
20343  ,3.470e+002  ,-3.6544  ,9.9186  ,-18.18  ,iso-1
20344  ,3.465e+002  ,-3.6544  ,9.9186  ,-19.598  ,iso-1
20345  ,3.461e+002  ,-3.6544  ,9.9186  ,-21.016  ,iso-1
20346  ,3.457e+002  ,-3.6544  ,9.9186  ,-22.435  ,iso-1
20347  ,3.454e+002  ,-3.6544  ,9.9186  ,-23.853  ,iso-1
20348  ,3.452e+002  ,-3.6544  ,9.9186  ,-25.271  ,iso-1
20349  ,3.449e+002  ,-3.6544  ,9.9186  ,-26.689  ,iso-1
20350  ,3.447e+002  ,-3.6544  ,9.9186  ,-28.108  ,iso-1
20351  ,3.445e+002  ,-3.6544  ,9.9186  ,-29.526  ,iso-1
20352  ,3.444e+002  ,-3.6544  ,9.9186  ,-30.944  ,iso-1
20353  ,3.444e+002  ,-2.2337  ,9.9186  ,20.83  ,iso-1
20354  ,3.445e+002  ,-2.2514  ,9.9186  ,19.405  ,iso-1
20355  ,3.447e+002  ,-2.3852  ,9.9186  ,17.988  ,iso-1
20356  ,3.449e+002  ,-2.7338  ,9.9186  ,16.582  ,iso-1
20357  ,3.451e+002  ,-1.7715  ,9.9186  ,15.256  ,iso-1
20358  ,3.454e+002  ,-2.0356  ,9.9186  ,13.884  ,iso-1
20359  ,3.457e+002  ,-2.1611  ,9.9186  ,12.475  ,iso-1
20360  ,3.460e+002  ,-2.2109  ,9.9186  ,11.057  ,iso-1
20361  ,3.464e+002  ,-2.2275  ,9.9186  ,9.6376  ,iso-1
20362  ,3.468e+002  ,-2.2322  ,9.9186  ,8.2174  ,iso-1
20363  ,3.473e+002  ,-2.2334  ,9.9186  ,6.7971  ,iso-1
20364  ,3.479e+002  ,-2.2336  ,9.9186  ,5.3769  ,iso-1
20365  ,3.486e+002  ,-2.2337  ,9.9186  ,3.9566  ,iso-1
20366  ,3.494e+002  ,-2.2337  ,9.9186  ,2.5283  ,iso-1
20367  ,3.504e+002  ,-2.2337  ,9.9186  ,1.0483  ,iso-1
20368  ,3.519e+002  ,-2.2337  ,9.9186  ,-0.43904  ,iso-1
20369  ,3.519e+002  ,-2.2337  ,9.9186  ,-9.6749  ,iso-1
20370  ,3.505e+002  ,-2.2337  ,9.9186  ,-11.068  ,iso-1
20371  ,3.495e+002  ,-2.2337  ,9.9186  ,-12.482  ,iso-1
20372  ,3.487e+002  ,-2.2337  ,9.9186  ,-13.901  ,iso-1
20373  ,3.480e+002  ,-2.2337  ,9.9186  ,-15.321  ,iso-1
20374  ,3.474e+002  ,-2.2337  ,9.9186  ,-16.741  ,iso-1
20375  ,3.469e+002  ,-2.2337  ,9.9186  ,-18.161  ,iso-1
20376  ,3.464e+002  ,-2.2337  ,9.9186  ,-19.582  ,iso-1
20377  ,3.461e+002  ,-2.2337  ,9.9186  ,-21.002  ,iso-1
20378  ,3.457e+002  ,-2.2337  ,9.9186  ,-22.422  ,iso-1
20379  ,3.454e+002  ,-2.2337  ,9.9186  ,-23.842  ,iso-1
20380  ,3.451e+002  ,-2.2337  ,9.9186  ,-25.263  ,iso-1
20381  ,3.449e+002  ,-2.2337  ,9.9186  ,-26.683  ,iso-1
20382  ,3.447e+002  ,-2.2337  ,9.9186  ,-28.103  ,iso-1
20383  ,3.445e+002  ,-2.2337  ,9.9186  ,-29.524  ,iso-1
20384  ,3.444e+002  ,-2.2337  ,9.9186  ,-30.944  ,iso-1
20385  ,3.444e+002  ,-0.81303  ,9.9186  ,20.83  ,iso-1
20386  ,3.445e+002  ,-0.82445  ,9.9186  ,19.392  ,iso-1
20387  ,3.446e+002  ,-0.92782  ,9.9186  ,17.946  ,iso-1
20388  ,3.448e+002  ,-1.304  ,9.9186  ,16.579  ,iso-1
20389  ,3.450e+002  ,-0.55732  ,9.9186  ,15.396  ,iso-1
