Date:  14:26, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17885  ,3.424e+002  ,-41.437  ,9.9186  ,-31.092  ,iso-1
17886  ,3.424e+002  ,-42.863  ,9.9186  ,-31.092  ,iso-1
17887  ,3.423e+002  ,-44.289  ,9.9186  ,-31.092  ,iso-1
17888  ,3.423e+002  ,-45.715  ,9.9186  ,-31.092  ,iso-1
17889  ,3.423e+002  ,-45.715  ,9.9186  ,-29.685  ,iso-1
17890  ,3.424e+002  ,-45.715  ,9.9186  ,-28.277  ,iso-1
17891  ,3.424e+002  ,-45.715  ,9.9186  ,-26.87  ,iso-1
17892  ,3.424e+002  ,-45.715  ,9.9186  ,-25.463  ,iso-1
17893  ,3.425e+002  ,-45.715  ,9.9186  ,-24.055  ,iso-1
17894  ,3.425e+002  ,-45.715  ,9.9186  ,-22.648  ,iso-1
17895  ,3.425e+002  ,-45.715  ,9.9186  ,-21.241  ,iso-1
17896  ,3.426e+002  ,-45.715  ,9.9186  ,-19.834  ,iso-1
17897  ,3.426e+002  ,-45.715  ,9.9186  ,-18.426  ,iso-1
17898  ,3.426e+002  ,-45.715  ,9.9186  ,-17.019  ,iso-1
17899  ,3.426e+002  ,-45.715  ,9.9186  ,-15.612  ,iso-1
17900  ,3.427e+002  ,-45.715  ,9.9186  ,-14.204  ,iso-1
17901  ,3.427e+002  ,-45.715  ,9.9186  ,-12.797  ,iso-1
17902  ,3.427e+002  ,-45.715  ,9.9186  ,-11.39  ,iso-1
17903  ,3.427e+002  ,-45.715  ,9.9186  ,-9.9825  ,iso-1
17904  ,3.427e+002  ,-45.715  ,9.9186  ,-8.5752  ,iso-1
17905  ,3.427e+002  ,-45.715  ,9.9186  ,-7.1679  ,iso-1
17906  ,3.427e+002  ,-45.715  ,9.9186  ,-5.7606  ,iso-1
17907  ,3.427e+002  ,-45.715  ,9.9186  ,-4.3533  ,iso-1
17908  ,3.427e+002  ,-45.715  ,9.9186  ,-2.946  ,iso-1
17909  ,3.427e+002  ,-45.715  ,9.9186  ,-1.5387  ,iso-1
17910  ,3.427e+002  ,-45.715  ,9.9186  ,-0.13144  ,iso-1
17911  ,3.427e+002  ,-45.715  ,9.9186  ,1.2759  ,iso-1
17912  ,3.427e+002  ,-45.715  ,9.9186  ,2.6832  ,iso-1
17913  ,3.427e+002  ,-45.715  ,9.9186  ,4.0905  ,iso-1
17914  ,3.426e+002  ,-45.715  ,9.9186  ,5.4978  ,iso-1
17915  ,3.426e+002  ,-45.715  ,9.9186  ,6.905  ,iso-1
17916  ,3.426e+002  ,-45.715  ,9.9186  ,8.3123  ,iso-1
17917  ,3.426e+002  ,-45.715  ,9.9186  ,9.7196  ,iso-1
17918  ,3.425e+002  ,-45.715  ,9.9186  ,11.127  ,iso-1
17919  ,3.425e+002  ,-45.715  ,9.9186  ,12.534  ,iso-1
17920  ,3.425e+002  ,-45.715  ,9.9186  ,13.942  ,iso-1
17921  ,3.424e+002  ,-45.715  ,9.9186  ,15.349  ,iso-1
17922  ,3.424e+002  ,-45.715  ,9.9186  ,16.756  ,iso-1
17923  ,3.424e+002  ,-45.715  ,9.9186  ,18.163  ,iso-1
17924  ,3.423e+002  ,-45.715  ,9.9186  ,19.571  ,iso-1
17925  ,3.445e+002  ,-5.0751  ,9.9186  ,19.532  ,iso-1
17926  ,3.447e+002  ,-5.0751  ,9.9186  ,18.085  ,iso-1
17927  ,3.449e+002  ,-5.0751  ,9.9186  ,16.639  ,iso-1
17928  ,3.451e+002  ,-5.0751  ,9.9186  ,15.192  ,iso-1
17929  ,3.454e+002  ,-5.0751  ,9.9186  ,13.746  ,iso-1
17930  ,3.457e+002  ,-5.0751  ,9.9186  ,12.3  ,iso-1
17931  ,3.460e+002  ,-5.0751  ,9.9186  ,10.853  ,iso-1
17932  ,3.464e+002  ,-5.0751  ,9.9186  ,9.4069  ,iso-1
17933  ,3.468e+002  ,-5.0751  ,9.9186  ,7.9605  ,iso-1
17934  ,3.473e+002  ,-5.0751  ,9.9186  ,6.5141  ,iso-1
17935  ,3.479e+002  ,-5.0751  ,9.9186  ,5.0677  ,iso-1
17936  ,3.486e+002  ,-5.0751  ,9.9186  ,3.6214  ,iso-1
17937  ,3.495e+002  ,-5.0751  ,9.9186  ,2.175  ,iso-1
17938  ,3.507e+002  ,-5.0751  ,9.9186  ,0.72857  ,iso-1
17939  ,3.524e+002  ,-5.0751  ,9.9186  ,-0.71781  ,iso-1
17940  ,3.556e+002  ,-5.0751  ,9.9186  ,-2.1642  ,iso-1
17941  ,3.623e+002  ,-5.0751  ,9.9186  ,-3.6106  ,iso-1
17942  ,3.683e+002  ,-5.0751  ,9.9186  ,-5.057  ,iso-1
17943  ,3.623e+002  ,-5.0751  ,9.9186  ,-6.5034  ,iso-1
17944  ,3.556e+002  ,-5.0751  ,9.9186  ,-7.9498  ,iso-1
17945  ,3.524e+002  ,-5.0751  ,9.9186  ,-9.3961  ,iso-1
17946  ,3.507e+002  ,-5.0751  ,9.9186  ,-10.843  ,iso-1
17947  ,3.495e+002  ,-5.0751  ,9.9186  ,-12.289  ,iso-1
17948  ,3.486e+002  ,-5.0751  ,9.9186  ,-13.735  ,iso-1
17949  ,3.479e+002  ,-5.0751  ,9.9186  ,-15.182  ,iso-1
17950  ,3.473e+002  ,-5.0751  ,9.9186  ,-16.628  ,iso-1
17951  ,3.468e+002  ,-5.0751  ,9.9186  ,-18.074  ,iso-1
17952  ,3.464e+002  ,-5.0751  ,9.9186  ,-19.521  ,iso-1
17953  ,3.460e+002  ,-5.0751  ,9.9186  ,-20.967  ,iso-1
17954  ,3.457e+002  ,-5.0751  ,9.9186  ,-22.414  ,iso-1
17955  ,3.454e+002  ,-5.0751  ,9.9186  ,-23.86  ,iso-1
17956  ,3.451e+002  ,-5.0751  ,9.9186  ,-25.306  ,iso-1
17957  ,3.449e+002  ,-5.0751  ,9.9186  ,-26.753  ,iso-1
17958  ,3.447e+002  ,-5.0751  ,9.9186  ,-28.199  ,iso-1
17959  ,3.445e+002  ,-5.0751  ,9.9186  ,-29.646  ,iso-1
17960  ,3.445e+002  ,-3.6491  ,9.9186  ,19.532  ,iso-1
17961  ,3.447e+002  ,-3.6491  ,9.9186  ,18.085  ,iso-1
17962  ,3.449e+002  ,-3.6491  ,9.9186  ,16.639  ,iso-1
17963  ,3.451e+002  ,-3.6491  ,9.9186  ,15.192  ,iso-1
17964  ,3.454e+002  ,-3.6491  ,9.9186  ,13.746  ,iso-1
17965  ,3.456e+002  ,-3.6491  ,9.9186  ,12.3  ,iso-1
17966  ,3.460e+002  ,-3.6491  ,9.9186  ,10.853  ,iso-1
